question,answer
is it safe to give a 2 month old ibuprofen if he runs a fever after immunizations,no there is an otc ibuprofen liquid sold under its brand name as well as various chain store brands it is limited for use by infants 6 23 months i suggest contacting the pediatrician before giving a 2 month old infant any otc products
does daily stretching add height to your body,maybe temporarily since gravity tends to pull us down and make us slightly shorter over the course of a day standing upright stretching is good for many things but it will not make you taller if it improves your posture you may look taller however
who is affected by sexual problems,both men and women are affected by sexual problems sexual problems occur in adults of all ages among those commonly affected are those in seniors which may be related to a decline in health associated with aging
is there any way to speed up a cold once you feel one coming on,link
how to remove sexual intercourse,what exactly are you removing i think you should re post your question to clarify what you mean
can i take vicodin and xanax the day before surgery,i do not have enough information to answer that question but my guess would be no you would need to ask your surgeon and the anesthesia team that question personally i do not know what kind of surgery you are having but the anesthesiologist or your surgeon may not want any other drugs of this nature in your system while you are sedated
i understand that health insurance premiums are based on income what income do i use to calculate my premium when buying health insurance is it gross income or adjusted income,modified gross adjusted income which for most people is the same as your adjusted income here is a guide to help you sort it out link
where does the extra weight go during pregnancy,baby 8 pounds placenta 2 to 3 pounds amniotic fluid 2 to 3 pounds breast tissue 2 to 3 pounds blood supply 4 pounds fat stores for delivery and breastfeeding 5 to 9 pounds uterus increase 2 to 5 pounds total 25 to 35 pounds
my 5 year old has a swollen spot on his gums that is red around the edges and white in the middle what is it,there are many possibilities such as an aphthous ulcer or canker sore an abscess or an erupting tooth if your child is in any pain i would recommend a trip to the pediatric dentist for an evaluation
i am donatin an egg its going to be stored they already did ultrasound in my vagina can my husband do oral sex on me,hi i cant think of a reason for not giving you oral sex enjoy good luck
what does genital herpes look like,clusters of pimples with fulid
does preparation h help with dark circles under the eyes,this caught my attention because preparation h should only be used to help treat and relieve the symptoms of hemorrhoids you should not use over the counter products for other areas of the body unless the packaging states so it is very important that you follow the directions on the package and use these products correctly to avoid serious harm
do i need to fast for a cbc blood test,no you do not have to fast for a cbc
can 2 people be allergic to fabric softner at the same time,sure and you do not even have to be identical twins
how do i sign up for obamacare,check healthcare gov to find links and phone numbers to your state is health insurance marketplace
can bacteria from feces or urine on the bottom of cat litter scoop spreadgrowcreep to the handle,hi if this worries you for one i do not think for one minute could happen just when you have finished just keep the pooper scoop it a container with some water and bleach in it this way you will always know it clean and germ free good luck
what time of the day should blood pressure medications be taken,the answer would depend on the type of blood pressure medication you are taking i would not take a diuretic at bedtime for instance since i do not know what you are taking i suggest that you call your medical provider or pharmacist for patient specific advice
i am doing insemination to get pregnant when should i do the insemination im getting two donations during my cycle,hi follow this link it has all the answers link do hope this helps good luck
can semen still impregnate a girl once it has been exposed to air or does the semen die thanks,sperm will eventually die but if it is still fresh wet and viable it has the capabilities of impregnation simple exposure to air does not immediately deactivate sperm
what should i do if i suspect an overdose of verv,if overdose is suspected contact your local poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canada residents can call a provincial poison control center symptoms of overdose may include stomachabdominal pain mentalmood changes seizures fastirregular heartbeat
i am about seven weeks pregnant and have started to leak a clear substance could it be amniotic fluid,this most likely is not amniotic fluid there is not enough amniotic fluid to imagine what you are leaking is amniotic fluid when you are pregnant there is an increase in vaginal discharge this is most likely what is happening
son was dianosed with atypical growth hormone deficiency is growth hormone therapy safe insurance denied coverage my son is a 13yr old 8th grader whose height is 4'8 and weight 78lbs,growth hormone therapy is safe if you do have an hgh deficiency this hormone is very expensive so it would be best to pressure your insurance company to approve it with the help of your pediatric endocrinologist assertiveness of course
do ceiling fans cause bell is palsy,not at all bell is palsy is usually caused by a virus even the herpes virus a ceiling fan will not cause illness
what illnesses often co exist with bipolar disorder,several illnesses may develop in people with bipolar disorder like alcoholism adhd anxiety disorders mental disorders and substance abuse is very common among people with bipolar disorder
my earlobes develop hard crusty patches of skin and scabs and are sore i have tried bactroban do you have any advice,you may be suffering from a secondary fungal infection this can usually be treated with topical antifungal cream along with a topical hydrocortisone for the inflammatory component
my dentist drilled into a decaying tooth and filled it with some medication what was that medication and is it safe,i would ask the dentist that performed the procedure but it is most likely a sedating filling to ease the pain in a badly decayed tooth
other than using bleaching creams what can i do about dark patches on my cheeks,sunblock is an effective first step for controlling dark patches certain lasers will reduce pigmentation however for darker skin patients lasers should be only be used by professionals that are familiar with your skin type inadvertent use may result in increased pigmentation
does benadryl have aspirin in it i have watery eyes but i can not take anything with aspirin,no benadryl contains diphenhydramine an antihistamine it does not contain any aspirin
are there otc medication for hypertension,there are no allopathic medications for hypertension available over the counter you will need to see your medical provider if cost is a consideration make sure to mention this to the provider so that less expensive prescription medications can be used
my son is on antibotics for staph 5 days now can he swim in our pool,in your own chlorinated pool yes assuming the wound is not draining or oozing you can always cover small area of staph with a water proof bandaid but in most cases he will not contaminate a large pool or put others at risk
i am feeling some anxeity again and have some citalopram from 3 years ago when i used to take it is it safe to take,no its way out dated its not safe get a new script
how can i change my daily routine which includes smoking a cigarette with my breakfast,when you first try to quit smoking change your routine eat breakfast in a different place and drink tea instead of coffee take a different route to work
can strep bacteria spread throughout the mouth causing sore and inflammed gums and ulcers on the lips,yes but there are many viral pathogens that can do the same most mouth ulcers are not strep ok thanks the inflammation of the gums and ulcers only appeared after the infection of his throat and tonsils i am contacting the doctor and am awaiting a follow up
what are the screening tests for prostate cancer,besides the manual testing by your doctor there is the psa test that might tell you a little about what is going on in your prostate if you have any conditions it might be wise to look into natural supplements like super beta prostate supplement it contains beta sitosterol that really supports prostate health
my mother in law is enrolled in medicare and an aarp supplemental does she need to do anything to continue this coverage in 2014,people with medicare do not need to apply for coverage through the marketplace they are already properly insured
i am allergic to products with any spf in them what can i use to protect my skin from the sun,it is probably not that you are allergic to any spf but rather that you are allergic to the chemical ingredients used in certain sunscreens you should choose a sunscreen with a physical blocker such as zinc oxide or titanium dioxide before you throw in the towel altogether on using sunscreen
my allergies are so bad i can hardly talk what can i do,sinus rinses can be very helpful for post nasal drip you can also consider over the counter antihistamines if these are not enough you should see your doctor about other treatments including anti inflammatory nasal sprays
on synthroid for 15 yrs when i start losing weight on diet my levels change have to increase dose why what to do,allow your medical provider to monitor your thyroid levels like the tsh and adjust your dosage accordingly this is not something you should be doing on your own
are black stools a concern with loose bowl movements,black stools can be a sign of gastrointestinal bleeding melena or it can be a sign of someone taking pepto bismol for their loose bowel movements the bismuth causes the stool to turn black if you are not taking pepto bismol you need to contact your medical provider to determine if you have a gastric stomach bleed like from an ulcer
will valium show up in a blood test i am taking an anti anxiety pill that includes a small amount of valium will it have any impact for a fasting blood test,hi seems it can store in the fat cells for a very long time and there is nothing you can really do but wait it out it is always good to drink plenty of water and healthy juices and eat healthy like lots of veggies fruit and lean protein ok good luck
what can i expect with treatment for stage 2 ovarian cancer,am not sure what type of chemotherapy you will be receiving but this usually includes a platinum drug and a taxane drug a description of chemotherapy side effects can be found on the women is cancer network web site this site has been developed by the gynecologic cancer foundation and contains a lot of good information about ovarian cancer
my 4 month old has hives i am breastfeeding him what could this be caused from,while you were carrying your son you might have got an allergic reaction through a food instead of it infecting you it ran to your bany and produced over the months
how can eczema flare ups be prevented,eczema outbreaks can usually be avoided or the severity lessened by following simple tips moisturize frequently avoid sudden changes in temperature or humidity avoid sweating or overheating reduce stress avoid scratchy materials such as wool avoid harsh soaps detergents and solvents avoid environmental factors that trigger allergies for example pollen mold dust mites and animal dander
i am getting tiny blood red spots all over my body i have very fair skin what are they and how can i get rid of them,blood red spots may be attributed to dilated small vessels on your face or telangiectasia the majority of these red spots are benign however on occasion they are associated with other medical conditions such as acne rosacea scleroderma and birthmarks your first step is to exclude any underlying medical conditions then your physician may recommend a topical product or laser treatment
how long can a man have chlamydia without symptoms,hi studies show that adults can have chlamydia for years without any symptoms it is possible to have a long term infection without getting pain or discharge hope this helps good luck
is bilirubin cancer please i want to be informed if bilirubin is cancer,bilirubin is not cancer but certain types of cancer and many many other medical conditions can cause elevated levels of bilirubin in the blood link
can i give my 6yr old 49lb boy mortin and allegra togeather low grade fever and cough,yes as long as it is the proper dosage for his ageweight
what are some tips for getting pregnant faster,having sex during ovulation
what are the symptoms of a urinary tract infection,usually a bad urinary tract infection will get worse and the symptoms will force you to go see a doctor or nurse practitioner symptoms of an infection include low back pain fever difficulty andor burning when urinating or just not feeling well you may also see some blood in your urine urinary tract infections are very common in women
what is a male condom,the male condom or rubber is a thin covering made of latex plastic or animal membrane that is rolled over an erect penis the covering prevents semen the fluid that contains sperm from entering a woman is vagina
are common allergies contagious to other i have a common allergies from rag weed in the late summer and fall my friend thinks my allergies is contagious is she right,no she is wrong allergies are not contagious
what does no acute pathology mean,in what context in most cases this is just a fancy way of saying normal findings
can a cat predict i am pregnant,only if the cat is a trained and licensed medical professional or laboratory technician
what is angioedema related to allergies,angioedema is a swelling similar to urticaria hives but the swelling occurs beneath the skin instead of on the surface angioedema is characterized by deep swelling around the eyes and lips and sometimes of the hands and feet
should i avoid drinking alcohol before a tooth extraction,alcohol can raise the blood pressure and slow down clotting so it is a good idea to curtail drinking a few days before an extraction
i need to reduce sugar intake i use honey in coffee if i replace honey w a sugar substitute splenda will it help,yes that will help
why do my ears always feel like to they need to pop they pop on there own then they feel normal for a couple seconds then feel like they need to pop,usually this is a problem with your eustachian tubes eustachian tube dysfunction can be caused by many different things but not knowing your medical history it would not be possible to narrow down the possibilities in your case
are there any specific vitamins that i can take to help with weight loss,vitamins do not cause weight loss but you do have to maintain adequate vitamins when you are dieting caloric restrictiondieting and calorie expenditureexercise is what causes weight loss
does baby wipes anti bacterial wipes and wet wipes help ease the burning sensation of conjunctivitis,absolutely not see your eye doctor for meds its an infection
what kind of medicine would the doctor give you for heart palpations,the choice of medications would totally depend on the cause of the palpitations there are no universal medications that would treat all causes your medical provider will select an appropriate treatment based on your evaluation and diagnostic tests
i am a man in my seventies when i ejaculate my sperm no longer shoots out it seeps out over five minutes why,it may be your prostate which could be enlarged there could be other reasons but this would be high on the list at your age it is good to have your prostate examined on a regular basis either by your primary care provider or a urologist
my 5 year old was bitten by tick behind the ear and now her lympnoyd is swollen should i worry no fever and no pain,you should still have her seen by a doctor especially if you do not know what type of tick it is do you know if it left a bull eye mark they can treat with antibiotic as a preventative if caught soon enough i would call your dr
what are the chances of getting pregnant with an iud i have the paragaurd and its been in for less than a year and i have a 10 month old,i found an article that says it is 99 effective here is the original article link hope this helps
can you have oral sex while using conceptrol,yes
i had blood drawn today and phlebotomist commented that my blood looked thick should i be concerned i had hysterectomy in 1990 drew blood for ra and ana with routine labs today,do not read too much into that comment just wait until you get your test results your cbc should reveal if the thick blood comment was valid or just a phlebotomist thinking out loud
what is erythropoietin to treat anemia,erythropoietin is a hormone that stimulates production of red blood cells and is used to treat anemia caused by chronic diseases
my eyes are red burning sensation and there swollen and red tryed allerga with no help,i worked at an eye doctors office you need to see an eye doctor and stop using over the counter stuff we see this alot and most of the time it is dry eye or an eye infection your eyes are important really see an eye doctor
i used to have trouble with my cheeks getting really red and hot feeling i started taking vitamins and it stopped why,most helpful answer you may have been experiencing a niacin flush from taking a bit more niacin than your body could process
my daughter in law is three months pregnant and has sinus drainage and her ears hurt what can she can do for relief,along with obgyn approved pain relievers a humidifier or a long hot shower may give her some relieve a saline rinse can help too as well as a salt water gargle plenty of fluids and plenty of rest
is it ok to take a benzodiazepine after a dose of over the counter night time cold medicine,it depends almost all the night time cold medicines contain medications that can make you drowsy adding a benzodiazepine to that could make someone excessively drowsy without more specific information about which medications you are referring to i would have to refer you to your personal pharmacist heshe has your personal medical information and can help you best
is sulfacetamide sodium ophthalmic solution usp 10 safe for a four year old,yes but it burns like crazy your child is not going to like it there are other prescription medications for pink eye conjunctivitis that do not burn as much
what is the relationship between periodontitis and hiv,hiv patients are at higher risk for periodontitis or inflammation of the gums and underlying bone due to the immune deficiency related to hiv
my son 12 yrs old is on cefdinir can he take delsym to help with the coughing,yes this antibiotic is compatible with delsym
i am required to wear safety shoes but they aggravate my hemorroids what suggestions can you offer,i have absolutely no medical explanation as to why safety shoes would be causing your hemorrhoids around your anus to flair up
does boiling turkey franks reduce fat and calories does boiling turkey franks reduce sodium fat calories and change nutritional values,not enough to make a difference some fat with a few calories will end up in the cooking water but not a significant amount compared to regular franks turkey franks already have less fat
is it possible to be pregnant and still have a period,yes
can a hot flash cause loss of consciousness peri menopausal one time only experienced sudden heat throughout whole body lost color in face then passed out,a hot flash does not cause a loss of consciousness but people can simply faint syncope anytime and for a variety of reasons since this is unusual for you it would be prudent to discuss this incident with your medical provider someone who knows you your medical history and someone who has the ability to examine you and order any appropriate diagnostic tests
can you catch a cold from getting chilled,this is one of the most persistent myths about colds the only way to catch a cold is by being exposed to a cold virus cold air may irritate an existing condition such as asthma which would weaken your immunity this could make your body more receptive to a cold virus but only if you come in contact with it
my 7 year old takes an otc antihistamine and steroid nasal spray but still has a cough can i give her cough syrup,i can tell you that there are no negative drug interactions between dextromethorphan antihistamines and steroid nasal sprays but i cannot tell you at this time if dextromethorphan is the best product to use for your daughter is type of cough i suggest you talk with your health care professional who will collect more information from you and make a recommendation
my grandson has had headaches and also running fever with it for over a month now not understanding why any opinions,i am very sorry but we do not know anything about your grandson not even his age headaches and fever are very non specific symptoms and could be signs of hundreds if not thousands of different medical problems if he has not been carefully examined this would be your first step he needs a diagnostic work up
will adema from congetive heart failure go away on its own has had the flu with a cough chills aches and pains for 2 weeks,no
i am a 15 yrs boy and masturbate daily since 2 years what its ill effects and solutions to stop it and recover damage,most helpful answer there are no ill effects from masturbation nor damage to recover from it if you are feeling guilt or remorse from this normal human act of self pleasure and want to stop then you may need to speak to a counselor if this is a religious conflict for you then speak to someone you trust in the clergy
can grinding your teeth at night cause neck pain,yes and a neck problem can contribute to jaw pain and grinding the bottom line is to get to the dentist for an exam and diagnosis
is it possible to see a yoke and tiny fetus connected to the side of it in a sonogram 10 days after sexual intercourse is anything even visible at that point,hello decamp it is very normale to see one of those
what does baby acne look like,pink pimples neonatal acne are often caused by exposure in the womb to maternal hormones they can last for weeks or even months on baby is skin
many times after eating and resuming physical work i experience general weakness shaking excessive cold sweating even though i have just eaten i also get very hungry especially for something sweet,that sounds like you may have a liver problem with the exception of getting hungry again which may just be in your head no offense i very highly recommend talking to your doctor asap
are gerber meals healthy for my baby and toddler,of course gerber is a well respected company there is also nothing wrong with learning to prepare your own nutritious meals for your children based on table food
is blood poisoning contagious through sexual relations,hi if you suspect you have blood poisoning perhaps an er would be better trying to find info on it having blood poisoning can be very bad for you so er asap good luck
i still can not move my shoulder fully after surgery 3 months ago and the rotation is not full how long should it take,sometimes after a fracture in the shoulder an adhesive capsulitis or frozen shoulder can occur this is when the shoulder capsule tightens up it can take months of physical therapy for this to thaw sometimes your physician may inject a corticosteroid to try to speed the process up
i have been diagnosed with genital herpes i have had my 1st outbreak why am i having so much pain in my pelvic area,genital herpes is painful very painful since the herpetic virus involves the nerves in this area hopefully your medical provider has given you the appropriate anti herpetic medications as well as something for pain this may last for a while and genital herpes tends to be recurrent the anti herpetic medications will help reduce future outbreaks too
